Method,Embedding_Size,Score_Type,Score
"Node2Vec (p=0.5, q=0.5)",2,r2,0.7798196278666601
"Node2Vec (p=0.5, q=0.5)",4,r2,0.7780328739537422
"Node2Vec (p=0.5, q=0.5)",8,r2,0.7808789678451119
"Node2Vec (p=0.5, q=1.0)",2,r2,0.7800737320987601
"Node2Vec (p=0.5, q=1.0)",4,r2,0.7788686766000833
"Node2Vec (p=0.5, q=1.0)",8,r2,0.7812916649838013
DeepWalk,2,r2,0.7774350477571208
DeepWalk,4,r2,0.7808359447462168
DeepWalk,8,r2,0.7805784250591246
"Node2Vec (p=1.0, q=0.5)",2,r2,0.7781595429089696
"Node2Vec (p=1.0, q=0.5)",4,r2,0.7793079747820485
"Node2Vec (p=1.0, q=0.5)",8,r2,0.7830821958733803
"Node2Vec (p=0.5, q=0.5)",2,r2,0.777430567582002
"Node2Vec (p=0.5, q=0.5)",4,r2,0.7792947189152004
"Node2Vec (p=0.5, q=0.5)",8,r2,0.7801778631124426
"Node2Vec (p=0.5, q=1.0)",2,r2,0.778049726557852
"Node2Vec (p=0.5, q=1.0)",4,r2,0.7799612084875243
"Node2Vec (p=0.5, q=1.0)",8,r2,0.7788379289895921
DeepWalk,2,r2,0.7782399637309483
DeepWalk,4,r2,0.7792916377775596
DeepWalk,8,r2,0.7777459315345506
"Node2Vec (p=1.0, q=0.5)",2,r2,0.7783927109679335
"Node2Vec (p=1.0, q=0.5)",4,r2,0.7789277630435343
"Node2Vec (p=1.0, q=0.5)",8,r2,0.7778743633691265
